Папка	Книга	Лист	Строк на листе	Столбцов на листе	Добавить	Сколько строк нужно	Сколько колонок нужно	Последнее обновление исходника
Исходники\2022	Зарубеж_02_2022.xlsx	Экспорт Задвоенные колонки	22390	34		22390	34	1701666997
Исходники\2022	Зарубеж_02_2022.xlsx	Экспорт	22390	34		22390	34	1701666997
Исходники\2022	Зарубеж_02_2022.xlsx	Лист1	423	20		423	20	1701666997
Исходники\2022	Зарубеж_02_2022.xlsx	Лист2	39	3		39	3	1701666997
Исходники\2022	Зарубеж_02_2022.xlsx	Соб	2129	19		2129	19	1701666997
Исходники\2022	Зарубеж_02_2022.xlsx	Соб 2	1000	19		1000	19	1701666997
Исходники\2022	Зарубеж_02_2022.xlsx	Импорт	23223	24	ДА	23223	24	1701666997
Исходники\2022	Зарубеж_02_2022.xlsx	Лист3	3	1		3	1	1701666997
Исходники\2022	Зарубеж_02_2022.xlsx	Логбокс	46	16		46	16	1701666997
Исходники\2022	Зарубеж_03_2022.xlsx	Экспорт Все нормально	1048576	16384		1048576	16384	1701665959
Исходники\2022	Зарубеж_03_2022.xlsx	Экспорт Сбившейся заголовок	1048576	16383		1048576	16383	1701665959
Исходники\2022	Зарубеж_03_2022.xlsx	Экспорт Сбившейся заголовок_2	1048575	33		1048575	33	1701665959
Исходники\2022	Зарубеж_03_2022.xlsx	Экспорт С сюрпризом	1048576	16384		1048576	16384	1701665959
Исходники\2022	Зарубеж_03_2022.xlsx	СОБ Экспорт	1236	16378		1236	16378	1701665959
Исходники\2022	Зарубеж_03_2022.xlsx	Лист1	155	9		155	9	1701665959
Исходники\2022	Зарубеж_03_2022.xlsx	импорт	24158	24	ДА	24158	24	1701665959
Исходники\2022	Зарубеж_03_2022.xlsx	Лист3	1	1		1	1	1701665959
Исходники\2022	Зарубеж_03_2022.xlsx	Лист2	103	11		103	11	1701665959
